Druh školy skrátený;Typ školy skrátený;Druh 1;Druh 2;Kraj názov;NUTS3;Okres názov;LAU1;Počet organizačných zložiek;Zriaďovateľ - Forma vlastníctva názov;Zriaďovateľ - Typ názov;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Banskobystrický;SK032;Lučenec;SK0326;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Banskobystrický;SK032;Revúca;SK0328;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Banskobystrický;SK032;Rimavská Sobota;SK0329;7;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Banskobystrický;SK032;Veľký Krtíš;SK032A;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Banskobystrický;SK032;Zvolen;SK032B;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Banskobystrický;SK032;Zvolen;SK032B;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Banskobystrický;SK032;Žarnovica;SK032C;3;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Banskobystrický;SK032;Žiar nad Hronom;SK032D;7;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava I;SK0101;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava I;SK0101;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava II;SK0102;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava II;SK0102;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava III;SK0103;7;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava III;SK0103;1;štátna;samosprávny kraj ;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava IV;SK0104;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava IV;SK0104;6;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava V;SK0105;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Bratislava V;SK0105;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Malacky;SK0106;2;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Pezinok;SK0107;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Senec;SK0108;1;súkromná;súkromník;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Bratislavský;SK010;Senec;SK0108;1;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Gelnica;SK0421;4;štátna;regionálny úrad školskej správy;
ŠVVP;ŠZŠ;ZŠ;ŠZŠ;Košický;SK042;Košice - okolie;SK0426;1;súkromná;súkromník;
